Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Unit Amenities,Building Amenities,Pets,Price,Latitude,Longitude,Date,Url
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,TA5 One Bedroom,1 Bedrooms,"1 Full, 1 Half Bath",911 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,443",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B2 Two Bedroom,2 Bedrooms,2 Bathrooms,708 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,207",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,335",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,340",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B4 Two Bedroom,2 Bedrooms,2 Bathrooms,769 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,342",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B4 Two Bedroom,2 Bedrooms,2 Bathrooms,769 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,342",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,345",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,350",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,350",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,355",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,355",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,355",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,355",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,355",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,355",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,360",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B4 Two Bedroom,2 Bedrooms,2 Bathrooms,769 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,362",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B4 Two Bedroom,2 Bedrooms,2 Bathrooms,769 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,367",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B4 Two Bedroom,2 Bedrooms,2 Bathrooms,769 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,372",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,375",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,375",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,375",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,375",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,375",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,375",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,375",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B9 Two Bedroom,2 Bedrooms,2 Bathrooms,807 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,390",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,507",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,512",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,547",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B8 Two Bedroom,2 Bedrooms,2 Bathrooms,794 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,577",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,577",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,582",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B13 Two Bedroom,2 Bedrooms,2 Bathrooms,881 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,585",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B13 Two Bedroom,2 Bedrooms,2 Bathrooms,881 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,590",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B8 Two Bedroom,2 Bedrooms,2 Bathrooms,794 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,597",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,597",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B13 Two Bedroom,2 Bedrooms,2 Bathrooms,881 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,600",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B8 Two Bedroom,2 Bedrooms,2 Bathrooms,794 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,602",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B8 Two Bedroom,2 Bedrooms,2 Bathrooms,794 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,602",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,602",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B8 Two Bedroom,2 Bedrooms,2 Bathrooms,794 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,607",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,B5 Two Bedroom,2 Bedrooms,2 Bathrooms,784 SQFT,"Air Conditioning, Assigned Parking, Central Heat, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space, Walk In Closets",", Concierge Service, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Swimming Pool, Wheelchair Accessible",Dogs & Cats,"$3,607",43.65162672443693,-79.3558931318249,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p955742/maple-house-at-canary-landing-apartments-at-131-mill-st-toronto-on-m5a-2z8
